phase,magnetic_state,category,source,path,natoms,total_frames,valid_frames,invalid_frames,valid_fraction,finite_energy_fraction,finite_temperature_fraction,finite_pressure_fraction,finite_force_fraction,finite_position_fraction,force_outlier_frames,force_outlier_fraction,force_outlier_threshold_eV_A,median_force_rms_eV_A,target_temperature_K,median_temperature_K,median_temperature_deviation_K,pressure_min_GPa,pressure_median_GPa,pressure_max_GPa,volume_per_atom_A3
BCC,non-magnetic,BCC nonmagnetic,2.41_4000K,dataset/bcc/non-mag/2.41_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.58804188814978,3.5597527157179987,4000.0,3751.827880859375,-248.172119140625,263.3570251464844,281.2560119628906,290.22900390625,6.9988067856203955
BCC,non-magnetic,BCC nonmagnetic,2.41_4500K,dataset/bcc/non-mag/2.41_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.825455173247672,3.955531303465627,4500.0,4384.69970703125,-115.30029296875,262.0610046386719,285.15802001953125,292.7740173339844,6.9988067856203955
BCC,non-magnetic,BCC nonmagnetic,2.41_5000K,dataset/bcc/non-mag/2.41_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.206154957481239,4.152935860217237,5000.0,4898.1142578125,-101.8857421875,261.9350280761719,289.7170104980469,293.8810119628906,6.9988067856203955
BCC,non-magnetic,BCC nonmagnetic,2.41_5500K,dataset/bcc/non-mag/2.41_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.95670196311976,4.257608133723162,5500.0,5238.40673828125,-261.59326171875,262.2760009765625,292.6100158691406,298.7669982910156,6.9988067856203955
BCC,non-magnetic,BCC nonmagnetic,2.41_6000K,dataset/bcc/non-mag/2.41_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.808499968157751,4.498877379150542,6000.0,5826.69287109375,-173.30712890625,262.5459899902344,297.468994140625,305.2550048828125,6.9988067856203955
BCC,non-magnetic,BCC nonmagnetic,2.42_4000K,dataset/bcc/non-mag/2.42_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.559492868340338,3.476340147318289,4000.0,3782.719482421875,-217.280517578125,247.9449920654297,267.4020080566406,273.5870056152344,7.086187186724503
BCC,non-magnetic,BCC nonmagnetic,2.42_4500K,dataset/bcc/non-mag/2.42_4500K.npz,128,254,253,1,0.9960629921259843,0.9960629921259843,1.0,0.9960629921259843,0.9960629921259843,1.0,0,0.0,4.920126517733382,3.6382774606822026,4500.0,4321.4326171875,-178.5673828125,248.1439971923828,271.20001220703125,278.16400146484375,7.086187186724503
BCC,non-magnetic,BCC nonmagnetic,2.42_5000K,dataset/bcc/non-mag/2.42_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.981443769820927,3.9026591398524553,5000.0,4715.91162109375,-284.08837890625,246.57400512695312,274.4820251464844,278.97100830078125,7.086187186724503
BCC,non-magnetic,BCC nonmagnetic,2.42_5500K,dataset/bcc/non-mag/2.42_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.30722792525799,4.153216458544834,5500.0,5303.31591796875,-196.68408203125,247.45901489257812,278.2330017089844,285.96600341796875,7.086187186724503
BCC,non-magnetic,BCC nonmagnetic,2.42_6000K,dataset/bcc/non-mag/2.42_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.522946231634449,4.373021434836699,6000.0,5451.40625,-548.59375,248.2689971923828,279.281005859375,288.2120056152344,7.086187186724503
BCC,non-magnetic,BCC nonmagnetic,2.43_4000K,dataset/bcc/non-mag/2.43_4000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.153467495394516,3.397301913243714,4000.0,3776.3525390625,-223.6474609375,231.72801208496094,252.86599731445312,260.7760009765625,7.174409052995837
BCC,non-magnetic,BCC nonmagnetic,2.43_4500K,dataset/bcc/non-mag/2.43_4500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.041100519978673,3.6835799002854066,4500.0,4333.4716796875,-166.5283203125,233.6540069580078,256.7080078125,261.2439880371094,7.174409052995837
BCC,non-magnetic,BCC nonmagnetic,2.43_5000K,dataset/bcc/non-mag/2.43_5000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,4.851771255914802,3.960987946056245,5000.0,4909.34033203125,-90.65966796875,233.3520050048828,260.4010009765625,264.125,7.174409052995837
BCC,non-magnetic,BCC nonmagnetic,2.43_5500K,dataset/bcc/non-mag/2.43_5500K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.541882048631586,4.249535815528957,5500.0,5421.55029296875,-78.44970703125,233.7550048828125,265.9750061035156,273.2850036621094,7.174409052995837
BCC,non-magnetic,BCC nonmagnetic,2.43_6000K,dataset/bcc/non-mag/2.43_6000K.npz,128,400,399,1,0.9975,0.9975,1.0,0.9975,0.9975,1.0,0,0.0,5.699329780095512,4.285249092594744,6000.0,5748.39208984375,-251.60791015625,233.6790008544922,267.1080017089844,272.8800048828125,7.174409052995837
