# segment point distance q1 q2 q3 frequency_1_THz frequency_2_THz frequency_3_THz
1.0000000000 92.0000000000 0.7207590682 0.0400000000 -0.0400000000 0.5000000000 2.6126193322 10.1965955016 22.5131849548
1.0000000000 93.0000000000 0.7238468708 0.0350000000 -0.0350000000 0.5000000000 2.3247719881 10.1350234033 22.5447285136
1.0000000000 94.0000000000 0.7269346734 0.0300000000 -0.0300000000 0.5000000000 2.0417041409 10.0811033035 22.5721925732
1.0000000000 95.0000000000 0.7300224760 0.0250000000 -0.0250000000 0.5000000000 1.7662337582 10.0350669437 22.5955231877
1.0000000000 96.0000000000 0.7331102786 0.0200000000 -0.0200000000 0.5000000000 1.5030626092 9.9971158598 22.6146745668
1.0000000000 97.0000000000 0.7361980812 0.0150000000 -0.0150000000 0.5000000000 1.2604282391 9.9674187962 22.6296091482
1.0000000000 98.0000000000 0.7392858837 0.0100000000 -0.0100000000 0.5000000000 1.0531022726 9.9461094674 22.6402976564
1.0000000000 99.0000000000 0.7423736863 0.0050000000 -0.0050000000 0.5000000000 0.9060605102 9.9332847383 22.6467191478
1.0000000000 100.0000000000 0.7454614889 0.0000000000 0.0000000000 0.5000000000 0.8513939956 9.9290032788 22.6488610433
2.0000000000 0.0000000000 0.7454614889 0.0000000000 0.0000000000 0.5000000000 0.8513939956 9.9290032788 22.6488610433
2.0000000000 1.0000000000 0.7485492915 0.0000000000 0.0000000000 0.4950000000 0.8531325046 9.9283134172 22.6472476400
2.0000000000 2.0000000000 0.7516370941 0.0000000000 0.0000000000 0.4900000000 0.8583197833 9.9262426418 22.6424048377
2.0000000000 3.0000000000 0.7547248967 0.0000000000 0.0000000000 0.4850000000 0.8668728001 9.9227873856 22.6343248695
2.0000000000 4.0000000000 0.7578126993 0.0000000000 0.0000000000 0.4800000000 0.8786586347 9.9179417190 22.6229948240
2.0000000000 5.0000000000 0.7609005019 0.0000000000 0.0000000000 0.4750000000 0.8935018728 9.9116973732 22.6083966961
2.0000000000 6.0000000000 0.7639883045 0.0000000000 0.0000000000 0.4700000000 0.9111935536 9.9040437722 22.5905074568
2.0000000000 7.0000000000 0.7670761070 0.0000000000 0.0000000000 0.4650000000 0.9315006620 9.8949680744 22.5692991434
2.0000000000 8.0000000000 0.7701639096 0.0000000000 0.0000000000 0.4600000000 0.9541752764 9.8844552221 22.5447389676
2.0000000000 9.0000000000 0.7732517122 0.0000000000 0.0000000000 0.4550000000 0.9789627200 9.8724880005 22.5167894431
2.0000000000 10.0000000000 0.7763395148 0.0000000000 0.0000000000 0.4500000000 1.0056083384 9.8590471037 22.4854085305
2.0000000000 11.0000000000 0.7794273174 0.0000000000 0.0000000000 0.4450000000 1.0338627688 9.8441112101 22.4505497997
2.0000000000 12.0000000000 0.7825151200 0.0000000000 0.0000000000 0.4400000000 1.0634857589 9.8276570637 22.4121626084
