atom,label,frac_x,frac_y,frac_z,x_ang,y_ang,z_ang,starting_magnetization,theta_deg,phi_deg,spin_x,spin_y,spin_z
55,A55,0.4907670617,0.2202892601,0.7414287925,5.005823935733544,2.246950411003128,7.562573542083579,0.35,140.2613708116,258.2081384938,-0.045724930054263105,-0.21902831252953323,-0.26913905157371315
56,A56,0.7796046138,0.2773585916,0.7450057268,7.951966912062114,2.829057581418009,7.599058271261333,0.35,87.5222201134,263.3646126668,-0.04040491988200811,-0.3473305196513249,0.015131178674151986
57,A57,0.0081507144,0.5287883878,0.7906364799,0.08313728532537348,5.393641454701547,8.06449194417795,0.35,118.1193650568,14.4528795046,0.29891966734788894,0.077043662015512,-0.164958499677546
58,A58,0.2465457916,0.5163469315,0.7772021294,2.5147670272950884,5.266738602814568,7.927461571640352,0.35,69.5811531296,279.6602359618,0.055041555595670935,-0.3233574409346832,0.12210811827958644
59,A59,0.4723031521,0.4568421245,0.7203310132,4.817492061335258,4.659789582764217,7.347376197247664,0.35,125.0881736047,299.1719983447,0.13959785090302976,-0.2500678431910641,-0.2011927280619874
60,A60,0.7574062943,0.4928252697,0.8075669408,7.72554405739611,5.026817656940972,8.237182642128719,0.35,100.807345184,188.233243891,-0.34024876799572756,-0.04923213036631293,-0.06562753398524054
61,A61,0.0305822585,0.7265467644,0.8140873909,0.31193903086689295,7.4107768583021025,8.303691231905042,0.35,99.7216857787,32.0127309845,0.2925138064954395,0.18287329950159087,-0.05910185563034364
62,A62,0.2397587001,0.7390611172,0.7204988599,2.4455386952896245,7.538423254475178,7.3490882335556496,0.35,88.0389069336,342.16063151,0.332976552374654,-0.10715950694051976,0.011977296896794751
63,A63,0.4711754322,0.7353633046,0.7263699174,4.805989318570354,7.50070556666048,7.408973018935834,0.35,97.0356989469,225.4211008178,-0.2438119468366575,-0.24742238560840388,-0.04287070887640176
64,A64,0.7090227604,0.7096323371,0.7681430578,7.232032020844544,7.238249703068275,7.8350590430482345,0.35,67.3556547358,328.3878845478,0.2750885076593123,-0.16931577367982636,0.13475341085469522
65,A65,0.0977323428,0.1072451174,0.139471516,0.9968698779190216,1.0939001770246026,1.4226094365979003,0.35,92.4777798866,83.3646126668,0.04040491988200807,0.3473305196513249,-0.015131178674151943
66,A66,0.4031407833,0.1437559873,0.1587027609,4.112035912766943,1.4663110430407018,1.6187681309098287,0.35,65.7255455433,277.6255619228,0.04233819507271719,-0.3162337454600579,0.14388778777327782
67,A67,0.6145470142,0.0846376345,0.1235570461,6.268379427624375,0.8633038557566408,1.2602818466533467,0.35,137.2950344844,107.664818084,-0.07203193997043399,0.22618531738151357,-0.25719953698465275
68,A68,0.8614501357,0.1203158051,0.1412041783,8.786791219831308,1.227221189071565,1.4402825917274211,0.35,114.0794191176,132.0243956781,-0.2139172773613951,0.23737587182782563,-0.14280088907379973
69,A69,0.1268839091,0.4097912312,0.1023125127,1.2942158486187976,4.17987048007847,1.0435876100254229,0.35,162.6118948955,340.0244091132,0.09830232294569087,-0.03573170031314962,-0.33400583661997935
70,A70,0.3918012977,0.3531450927,0.1175898314,3.9963731618097795,3.6020798781828707,1.1994162578515035,0.35,95.9895503009,25.6575809694,0.3137669683253013,0.1507198436129088,-0.03652147764329489
71,A71,0.5895792842,0.3586644232,0.0971825048,6.013708586386596,3.6583770482301414,0.991261530423895,0.35,61.1526169436,227.6469120868,-0.20653396561781806,-0.22655580247227888,0.16886737225503234
72,A72,0.8987351656,0.370246768,0.1101031005,9.167098517699747,3.776516962980983,1.1230516040994851,0.35,102.3584497931,200.3267046664,-0.3205992577300518,-0.118763168753965,-0.07490944994095898
73,A73,0.1736734807,0.6192870736,0.1261648983,1.7714694700143885,6.31672803260028,1.286881938595938,0.35,50.4252630082,147.1226163204,-0.22656877385190047,0.14644708283973687,0.2229794668640537
74,A74,0.3916597962,0.6283859015,0.1165436208,3.994929846536769,6.409536075444815,1.1887449099310525,0.35,18.0405635926,300.4433289561,0.054920484248707706,-0.093447715269575,0.3327931263124043
75,A75,0.5899645686,0.6220338345,0.1052225232,6.017638487193108,6.344744993256377,1.073269716570382,0.35,161.9594364074,120.4433289561,-0.054920484248707706,0.09344771526957496,-0.3327931263124043
76,A76,0.8455609679,0.6446162462,0.0939340442,8.624721711301929,6.57508558828912,0.95812723292349,0.35,70.1836586139,252.1766699817,-0.10078530003019111,-0.3134708618050831,0.11865218960054155
77,A77,0.1225984767,0.8704891801,0.1511743367,1.2505044389561795,8.878989470987246,1.541978205505763,0.35,130.4214471392,202.5063896178,-0.24615954062852297,-0.10199478336492745,-0.22694172098557833
78,A78,0.4108884633,0.8779550791,0.1729462892,4.191062247289189,8.955141639363239,1.7640521168530894,0.35,80.2783142213,212.0127309845,-0.29251380649543957,-0.18287329950159076,0.0591018556303436
79,A79,0.6235095859,0.8768956065,0.1753119677,6.3597976572549,8.944335019045317,1.7881820371018717,0.35,68.4464689718,84.1740798774,0.03304297635110771,0.3238447814678478,0.12857962214092095
80,A80,0.7898771167,0.8602915406,0.0878954381,8.056746439682788,8.774973550032293,0.8965334518552636,0.35,131.0583496204,43.3420007078,0.1919369585516905,0.18113806813271294,-0.22988954785956517
81,A81,0.099857673,0.1022530124,0.3621942103,1.0185482455536468,1.0429807069767716,3.6943808759768872,0.35,69.6491754684,165.0664493427,-0.3170700209369348,0.08456465177577338,0.12171861604986259
82,A82,0.3859219253,0.1352766007,0.3677811921,3.9364035644511817,1.3798213013380176,3.751368089271254,0.35,84.2306359132,296.0287842449,0.1528099355434544,-0.3129077244515907,0.03518351286799942
83,A83,0.6714834571,0.1471372992,0.3939123452,6.849131134344603,1.500800423775767,4.017905845907129,0.35,54.9118263953,119.1719983447,-0.1395978509030298,0.2500678431910641,0.20119272806198737
84,A84,0.8853520751,0.1407938898,0.3715337813,9.030590997152371,1.4360976491056774,3.789644498395504,0.35,161.3236621839,106.7158666801,-0.03223641103955501,0.10734154600192618,-0.3315699116403737
85,A85,0.1627626121,0.3855349123,0.366525203,1.6601786123754734,3.9324560319249984,3.7385570006908155,0.35,143.0499003296,297.0836970788,0.09578958719542456,-0.18732068014640632,-0.27970577000558616
86,A86,0.3820361793,0.3720808327,0.399766922,3.8967689559923295,3.795224422571162,4.077622528150457,0.35,138.6786880808,66.0751609413,0.09371914856235451,0.21124199170778382,-0.2628565048312024
87,A87,0.6486548781,0.4228442907,0.3839661479,6.616279632898812,4.313011684488794,3.9164546353442167,0.35,24.9135429413,54.5353183868,0.08554342624166632,0.12008396700363143,0.3174305642113049
88,A88,0.8658106923,0.4030681849,0.3254646957,8.831268896319598,4.11129540910079,3.319739834062491,0.35,13.518670989,54.4337751892,0.04758820065540784,0.06655334728560604,0.3403028285563641
